TeamCode,Team Name,PrimaryColor,SecondaryColor,Division,Conf,NFL,FBS,Power 5,Conference  ,Logo
COAF,Air Force,#003087,#8A8D8F,IA,MWC,0,1,0,Mountain West Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2005.png
OHAK,Akron,#041E42,#A89968,IA,MAC,0,1,0,Mid-American Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2006.png
ALUN,Alabama,#9E1B32,#828A8F,IA,SEC,0,1,1,Southeastern Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/333.png
NCAP,Appalachian State,#222222,#FFCC00,IA,Sun Belt,0,1,0,Sun Belt Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2026.png
AZUN,Arizona,#CC0033,#003366,IA,PAC-12,0,1,1,Pacific Twelve Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/12.png
AZST,Arizona State,#8C1D40,#FFC627,IA,PAC-12,0,1,1,Pacific Twelve Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/9.png
ARUN,Arkansas,#9D2235,#FFFFFF,IA,SEC,0,1,1,ALL-STAR BOWL,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/8.png
ARST,Arkansas State,#CC092F,#000000,IA,Sun Belt,0,1,0,ALL-STAR BOWL,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2032.png
NYWP,Army,#CE9C00,#000000,IA,IND (FBS),0,1,0,Independent,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/349.png
ALAU,Auburn,#0C2340,#E87722,IA,SEC,0,1,1,Southeastern Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2.png
INBS,Ball State,#BA0C2F,#000000,IA,MAC,0,1,0,Mid-American Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2050.png
TXBA,Baylor,#003015,#FECB00,IA,Big-12,0,1,1,Big Twelve Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/239.png
IDBO,Boise State,#D64309,#0033A0,IA,MWC,0,1,0,Mountain West Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/68.png
MABC,Boston College,#98002E,#BC9B6A,IA,ACC,0,1,1,Atlantic Coast Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/103.png
OHBG,Bowling Green,#FE5000,#4F2C1D,IA,MAC,0,1,0,Mid-American Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/189.png
NYBU,Buffalo,#005BBB,#FFFFFF,IA,MAC,0,1,0,Mid-American Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2084.png
UTBY,BYU,#002255,#C5AF7D,IA,IND (FBS),0,1,0,Independent,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/252.png
CAUN,California,#003262,#FDB515,IA,PAC-12,0,1,1,Pacific Twelve Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/25.png
MICE,Central Michigan,#6A0032,#FFC82E,IA,MAC,0,1,0,Mid-American Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2117.png
